id,word,polarity,joy,fear,sadness,anger,surprise,disgust,one_word,word_variation,no_variation,sentiment
6,abasourdir,negative,0,0,0,0,1,0,1,0,1,-1
7,ablation,negative,0,1,0,0,0,1,1,0,1,-1
8,abominable,negative,0,1,0,0,0,1,1,0,1,-1
9,abrupt,negative,0,1,0,0,0,0,1,0,1,-1
10,absent,negative,0,1,1,0,0,0,1,0,1,-1
11,absorber,positive,0,0,0,0,1,0,1,0,1,1
12,absurde,negative,0,0,0,1,1,1,1,0,1,-1
13,acceptable,positive,0,0,0,0,0,0,1,0,1,1
14,accidentel,negative,0,1,1,0,1,0,1,0,1,-1
15,accusateur,negative,0,1,0,1,0,1,1,0,1,-1
16,accuser,negative,0,1,1,1,0,1,1,0,1,-1
17,acheteur,positive,0,0,0,0,0,0,1,0,1,1
18,acquisition,positive,0,0,0,0,0,0,1,0,1,1
19,active,positive,0,0,0,0,0,0,1,0,1,1
20,actuel,positive,0,0,0,0,1,0,1,0,1,1
21,addition,positive,0,0,0,0,0,0,1,0,1,1
22,adhésif,positive,0,0,0,0,0,1,1,0,1,1
23,administration,positive,0,0,0,0,0,0,1,0,1,1
24,administratif,positive,0,0,0,0,0,0,1,0,1,1
25,administrateur,positive,0,0,0,0,0,0,1,0,1,1
26,admirateur,positive,0,0,0,0,0,0,1,0,1,1
27,admissible,positive,0,0,0,0,0,0,1,0,1,1
28,adolescent,positive,0,0,0,0,0,0,1,0,1,1
29,aérien,positive,0,1,0,0,0,0,1,0,1,1
30,affable,positive,0,0,0,0,0,0,1,0,1,1
31,affaire,positive,0,0,0,0,0,0,1,0,1,1
32,affectueux,positive,0,0,0,0,0,0,1,0,1,1
33,affirmative,positive,0,0,0,0,0,0,1,0,1,1
34,affliger,negative,0,1,1,0,0,0,1,0,1,-1
35,affreux,negative,0,1,1,1,1,1,1,0,1,-1
38,agrafe,positive,0,0,0,0,0,0,1,0,1,1
39,agréable,positive,0,0,0,0,0,0,1,0,1,1
40,agressif,negative,0,1,0,1,0,0,1,0,1,-1
41,agriculteur,positive,0,0,0,0,0,0,1,0,1,1
42,aiguiser,positive,0,1,0,1,0,0,1,0,1,1
43,aimer,positive,0,0,0,0,0,0,1,0,1,1
44,aîné,positive,0,0,0,0,0,0,1,0,1,1
45,aisément,positive,0,0,0,0,0,0,1,0,1,1
46,alcalin,positive,0,0,0,0,0,0,1,0,1,1
47,alentour,positive,0,0,0,0,0,0,1,0,1,1
48,allonger,negative,0,1,1,1,0,1,1,0,1,-1
49,allure,positive,0,0,0,0,0,0,1,0,1,1
50,allusion,negative,0,1,0,1,1,0,1,0,1,-1
51,alternative,positive,0,0,0,0,0,0,1,0,1,1
52,amas,negative,0,0,0,0,0,0,1,0,1,-1
53,amatrice,negative,0,0,0,0,0,0,1,0,1,-1
54,ambassadrice,positive,0,0,0,0,0,0,1,0,1,1
55,ambitieux,positive,0,0,0,0,0,0,1,0,1,1
56,amélioration,positive,0,0,0,0,0,0,1,0,1,1
57,ami,positive,0,0,0,0,0,0,1,0,1,1
58,amourette,negative,0,0,0,0,0,0,1,0,1,-1
59,analyse,positive,0,0,0,0,0,0,1,0,1,1
60,ancien,negative,0,0,0,0,0,0,1,0,1,-1
62,anguleux,positive,0,0,0,0,0,0,1,0,1,1
63,animal,negative,0,1,0,0,0,1,1,0,1,-1
64,annuel,positive,0,0,0,0,0,0,1,0,1,1
65,anticipatif,positive,0,0,0,0,0,0,1,0,1,1
66,anxieux,negative,0,1,0,0,0,0,1,0,1,-1
67,apathique,negative,0,1,1,0,0,0,1,0,1,-1
68,apparenter,positive,0,0,0,0,0,0,1,0,1,1
69,apprenant,positive,0,0,0,0,0,0,1,0,1,1
70,apprenti,positive,0,0,0,0,0,0,1,0,1,1
71,approbation,positive,0,0,0,0,0,0,1,0,1,1
72,approbateur,positive,0,0,0,0,0,0,1,0,1,1
73,approcher,positive,0,0,0,0,0,0,1,0,1,1
74,approprier,positive,0,0,0,0,0,0,1,0,1,1
75,approximatif,positive,0,0,0,0,0,0,1,0,1,1
76,appui,positive,0,0,0,0,0,0,1,0,1,1
77,aqueux,negative,0,0,0,0,0,1,1,0,1,-1
78,ardent,positive,0,0,0,0,1,0,1,0,1,1
79,arête,negative,0,1,0,0,0,0,1,0,1,-1
80,aride,negative,0,1,1,0,0,0,1,0,1,-1
81,armature,positive,0,0,0,0,0,0,1,0,1,1
82,arnaqueur,negative,0,1,0,1,0,1,1,0,1,-1
83,arrondissement,positive,0,0,0,0,0,0,1,0,1,1
84,artisane,positive,0,0,0,0,0,0,1,0,1,1
85,asile,positive,0,0,0,0,0,0,1,0,1,1
86,asphyxie,negative,0,1,0,1,0,0,1,0,1,-1
87,aspiration,positive,0,0,0,0,0,0,1,0,1,1
88,assaillant,negative,0,1,1,1,0,0,1,0,1,-1
89,assentiment,positive,0,0,0,0,0,0,1,0,1,1
90,assidu,positive,0,0,0,0,0,0,1,0,1,1
91,assistance,positive,0,0,0,0,0,0,1,0,1,1
92,assistant,positive,0,0,0,0,0,0,1,0,1,1
93,assourdir,negative,0,1,1,0,0,0,1,0,1,-1
94,asticot,negative,0,0,0,0,0,1,1,0,1,-1
95,astucieux,positive,0,0,0,0,0,0,1,0,1,1
96,athéiste,negative,0,0,0,0,0,0,1,0,1,-1
98,attentif,positive,0,0,0,0,0,0,1,0,1,1
99,attirer,positive,0,0,0,0,1,0,1,0,1,1
101,attroupement,positive,0,0,0,0,0,0,1,0,1,1
105,auditif,positive,0,0,0,0,0,0,1,0,1,1
106,auditeur,positive,0,1,0,0,0,0,1,0,1,1
107,augure,negative,0,1,0,0,0,0,1,0,1,-1
109,autonomie,positive,0,0,0,0,0,0,1,0,1,1
110,autosatisfaction,positive,0,0,0,0,0,0,1,0,1,1
112,avantageux,positive,1,0,0,0,0,0,1,0,1,1
117,aventureux,positive,0,1,0,0,1,0,1,0,1,1
118,aventurier,positive,0,1,0,0,1,0,1,0,1,1
119,avocat,positive,0,1,0,1,0,1,1,0,1,1
121,avouer,negative,0,1,1,0,0,0,1,0,1,-1
122,badaud,positive,0,0,0,0,0,0,1,0,1,1
123,bafouiller,negative,0,1,0,0,0,0,1,0,1,-1
124,baisse,negative,0,0,1,0,0,0,1,0,1,-1
125,baissière,negative,0,1,1,1,0,0,1,0,1,-1
126,balaise,negative,0,1,0,0,1,0,1,0,1,-1
127,balbutiement,positive,0,0,0,0,0,0,1,0,1,1
128,banlieusard,negative,0,0,0,0,0,0,1,0,1,-1
129,bannière,positive,0,0,0,0,0,0,1,0,1,1
130,banquière,positive,0,0,0,0,0,0,1,0,1,1
131,banshie,negative,0,1,1,1,0,1,1,0,1,-1
132,baraquer,positive,0,1,0,0,0,0,1,0,1,1
133,barge,negative,0,1,0,0,0,1,1,0,1,-1
134,bâtard,negative,0,1,0,1,0,1,1,0,1,-1
135,batifoler,positive,1,0,0,0,0,0,1,0,1,1
136,battant,positive,0,0,0,0,0,0,1,0,1,1
137,batteuse,positive,0,0,0,0,0,0,1,0,1,1
138,bavardage,negative,0,0,0,0,0,0,1,0,1,-1
139,bavard,negative,0,0,0,0,0,0,1,0,1,-1
140,bazar,negative,0,1,1,1,0,1,1,0,1,-1
141,beau,positive,0,0,0,0,0,0,1,0,1,1
142,belliqueux,negative,0,1,0,1,0,0,1,0,1,-1
143,bénigne,positive,1,0,0,0,0,0,1,0,1,1
