LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-01;101.8129;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-02;101.9339;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-03;102.026;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-04;102.0865;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-05;102.1173;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-06;102.1277;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-07;102.1205;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-08;102.1009;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-09;102.0812;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-10;102.06;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-11;102.0217;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2000-12;101.9522;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-01;101.8325;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-02;101.6409;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-03;101.3789;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-04;101.0681;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-05;100.7251;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-06;100.3687;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-07;100.0195;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-08;99.70461;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-09;99.45246;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-10;99.29436;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-11;99.23241;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2001-12;99.2448;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-01;99.28693;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-02;99.32701;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-03;99.34844;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-04;99.3347;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-05;99.28025;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-06;99.18929;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-07;99.08495;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-08;98.97172;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-09;98.85278;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-10;98.74376;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-11;98.63872;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2002-12;98.51421;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-01;98.35792;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-02;98.18864;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-03;98.05228;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-04;97.9864;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-05;97.99198;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-06;98.05896;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-07;98.17267;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-08;98.31007;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-09;98.45837;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-10;98.61333;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-11;98.76921;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2003-12;98.91147;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-01;99.03436;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-02;99.13742;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-03;99.22591;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-04;99.30542;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-05;99.38952;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-06;99.48416;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-07;99.59034;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-08;99.69763;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-09;99.79672;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-10;99.87341;
FRA;CLI;AMPLITUD;LTRENDIDX;M;2004-11;99.92214;
