year_quarter;unemp
2000-Q1;10.23333
2000-Q2;9.7
2000-Q3;9.266666
2000-Q4;8.9
2001-Q1;8.7
2001-Q2;8.733334
2001-Q3;8.8
2001-Q4;8.8
2002-Q1;8.766666
2002-Q2;8.633333
2002-Q3;8.6
2002-Q4;8.566667
2003-Q1;8.3
2003-Q2;8.433333
2003-Q3;8.5
2003-Q4;8.8
2004-Q1;8.8
2004-Q2;8.8
2004-Q3;8.8
2004-Q4;8.9
2005-Q1;8.7
2005-Q2;8.866667
2005-Q3;8.933333
2005-Q4;9.066667
2006-Q1;9.1
2006-Q2;8.933333
2006-Q3;8.833333
2006-Q4;8.433333
2007-Q1;8.4
2007-Q2;8.1
2007-Q3;7.933333
2007-Q4;7.5
2008-Q1;7.266667
2008-Q2;7.3
2008-Q3;7.466667
2008-Q4;7.8
2009-Q1;8.566667
2009-Q2;9.066667
2009-Q3;9.2
2009-Q4;9.5
2010-Q1;9.3
2010-Q2;9.266666
2010-Q3;9.233334
2010-Q4;9.2
2011-Q1;9.1
2011-Q2;9.133333
2011-Q3;9.2
2011-Q4;9.366667
2012-Q1;9.5
2012-Q2;9.666667
2012-Q3;9.8
2012-Q4;10.1
2013-Q1;10.33333
2013-Q2;10.4
2013-Q3;10.26667
2013-Q4;10.2
2014-Q1;10.2
2014-Q2;10.2
2014-Q3;10.3
2014-Q4;10.43333
2015-Q1;10.4
2015-Q2;10.5
2015-Q3;10.33333
2015-Q4;10.23333
2016-Q1;10.23333
2016-Q2;10.03333
2016-Q3;9.866667
2016-Q4;10.03333
2017-Q1;9.6
2017-Q2;9.5
2017-Q3;9.533334
2017-Q4;9.066667
2018-Q1;9.2
2018-Q2;9.066667
2018-Q3;9
2018-Q4;8.833333
2019-Q1;8.666667
2019-Q2;8.5
2019-Q3;8.466666
2019-Q4;8.233334
2020-Q1;7.733333
2020-Q2;7.133333
2020-Q3;9.1
2020-Q4;8.0
